facility_code,timestamp,emissions,power
WARWSF,2025-10-01 12:55:00+10:00,0.0,0.1
WARWSF,2025-10-01 13:00:00+10:00,0.0,0.1
WARWSF,2025-10-01 13:05:00+10:00,0.0,0.1
WARWSF,2025-10-01 13:10:00+10:00,0.0,0.1
WARWSF,2025-10-01 13:15:00+10:00,0.0,0.1
WARWSF,2025-10-01 13:20:00+10:00,0.0,0.1
WARWSF,2025-10-01 13:25:00+10:00,0.0,20.6
WARWSF,2025-10-01 13:30:00+10:00,0.0,30.6
WARWSF,2025-10-01 13:35:00+10:00,0.0,4.0
WARWSF,2025-10-01 13:40:00+10:00,0.0,28.9
WARWSF,2025-10-01 13:45:00+10:00,0.0,26.1
WARWSF,2025-10-01 13:50:00+10:00,0.0,15.8
WARWSF,2025-10-01 13:55:00+10:00,0.0,14.9
WARWSF,2025-10-01 14:00:00+10:00,0.0,14.7
WARWSF,2025-10-01 14:05:00+10:00,0.0,12.1
WARWSF,2025-10-01 14:10:00+10:00,0.0,9.1
WARWSF,2025-10-01 14:15:00+10:00,0.0,9.1
WARWSF,2025-10-01 14:20:00+10:00,0.0,9.4
WARWSF,2025-10-01 14:25:00+10:00,0.0,11.5
WARWSF,2025-10-01 14:30:00+10:00,0.0,11.1
WARWSF,2025-10-01 14:35:00+10:00,0.0,10.6
WARWSF,2025-10-01 14:40:00+10:00,0.0,9.8
WARWSF,2025-10-01 14:45:00+10:00,0.0,10.9
WARWSF,2025-10-01 14:50:00+10:00,0.0,9.8
WARWSF,2025-10-01 14:55:00+10:00,0.0,10.3
WARWSF,2025-10-01 15:00:00+10:00,0.0,14.4
WARWSF,2025-10-01 15:05:00+10:00,0.0,20.8
WARWSF,2025-10-01 15:10:00+10:00,0.0,23.2
WARWSF,2025-10-01 15:15:00+10:00,0.0,26.6
WARWSF,2025-10-01 15:20:00+10:00,0.0,28.0
WARWSF,2025-10-01 15:25:00+10:00,0.0,23.3
WARWSF,2025-10-01 15:30:00+10:00,0.0,18.4
WARWSF,2025-10-01 15:35:00+10:00,0.0,17.9
WARWSF,2025-10-01 15:40:00+10:00,0.0,16.0
WARWSF,2025-10-01 15:45:00+10:00,0.0,10.5
WARWSF,2025-10-01 15:50:00+10:00,0.0,9.3
WARWSF,2025-10-01 15:55:00+10:00,0.0,10.9
WARWSF,2025-10-01 16:00:00+10:00,0.0,13.1
WARWSF,2025-10-01 16:05:00+10:00,0.0,16.0
WARWSF,2025-10-01 16:10:00+10:00,0.0,12.8
WARWSF,2025-10-01 16:15:00+10:00,0.0,12.4
WARWSF,2025-10-01 16:20:00+10:00,0.0,7.1
WARWSF,2025-10-01 16:25:00+10:00,0.0,7.9
WARWSF,2025-10-01 16:30:00+10:00,0.0,12.0
WARWSF,2025-10-01 16:35:00+10:00,0.0,12.9
WARWSF,2025-10-01 16:40:00+10:00,0.0,3.6
WARWSF,2025-10-01 16:45:00+10:00,0.0,6.1
WARWSF,2025-10-01 16:50:00+10:00,0.0,3.8
WARWSF,2025-10-01 16:55:00+10:00,0.0,2.2
WARWSF,2025-10-01 17:00:00+10:00,0.0,2.0
WARWSF,2025-10-01 17:05:00+10:00,0.0,1.7
WARWSF,2025-10-01 17:10:00+10:00,0.0,1.4
WARWSF,2025-10-01 17:15:00+10:00,0.0,1.4
WARWSF,2025-10-01 17:20:00+10:00,0.0,1.4
WARWSF,2025-10-01 17:25:00+10:00,0.0,1.7
WARWSF,2025-10-01 17:30:00+10:00,0.0,1.0
WARWSF,2025-10-01 17:35:00+10:00,0.0,0.6
WARWSF,2025-10-01 17:40:00+10:00,0.0,0.3
WARWSF,2025-10-01 17:45:00+10:00,0.0,0.1
WARWSF,2025-10-01 17:50:00+10:00,0.0,0.0
WARWSF,2025-10-01 17:55:00+10:00,0.0,0.0
WARWSF,2025-10-01 18:00:00+10:00,0.0,0.0
WARWSF,2025-10-01 18:05:00+10:00,0.0,0.0
WARWSF,2025-10-01 18:10:00+10:00,0.0,0.0
WARWSF,2025-10-01 18:15:00+10:00,0.0,0.0
WARWSF,2025-10-01 18:20:00+10:00,0.0,0.0
WARWSF,2025-10-01 18:25:00+10:00,0.0,0.0
WARWSF,2025-10-01 18:30:00+10:00,0.0,0.0
WARWSF,2025-10-01 18:35:00+10:00,0.0,0.0
WARWSF,2025-10-01 18:40:00+10:00,0.0,0.0
WARWSF,2025-10-01 18:45:00+10:00,0.0,0.0
WARWSF,2025-10-01 18:50:00+10:00,0.0,0.0
WARWSF,2025-10-01 18:55:00+10:00,0.0,0.0
WARWSF,2025-10-01 19:00:00+10:00,0.0,0.0
WARWSF,2025-10-01 19:05:00+10:00,0.0,0.0
WARWSF,2025-10-01 19:10:00+10:00,0.0,0.0
WARWSF,2025-10-01 19:15:00+10:00,0.0,0.0
WARWSF,2025-10-01 19:20:00+10:00,0.0,0.0
WARWSF,2025-10-01 19:25:00+10:00,0.0,0.0
WARWSF,2025-10-01 19:30:00+10:00,0.0,0.0
WARWSF,2025-10-01 19:35:00+10:00,0.0,0.0
WARWSF,2025-10-01 19:40:00+10:00,0.0,0.0
WARWSF,2025-10-01 19:45:00+10:00,0.0,0.0
WARWSF,2025-10-01 19:50:00+10:00,0.0,0.0
WARWSF,2025-10-01 19:55:00+10:00,0.0,0.0
WARWSF,2025-10-01 20:00:00+10:00,0.0,0.0
WARWSF,2025-10-01 20:05:00+10:00,0.0,0.0
WARWSF,2025-10-01 20:10:00+10:00,0.0,0.0
WARWSF,2025-10-01 20:15:00+10:00,0.0,0.0
WARWSF,2025-10-01 20:20:00+10:00,0.0,0.0
WARWSF,2025-10-01 20:25:00+10:00,0.0,0.0
WARWSF,2025-10-01 20:30:00+10:00,0.0,0.0
WARWSF,2025-10-01 20:35:00+10:00,0.0,0.0
WARWSF,2025-10-01 20:40:00+10:00,0.0,0.0
WARWSF,2025-10-01 20:45:00+10:00,0.0,0.0
WARWSF,2025-10-01 20:50:00+10:00,0.0,0.0
WARWSF,2025-10-01 20:55:00+10:00,0.0,0.0
WARWSF,2025-10-01 21:00:00+10:00,0.0,0.0
WARWSF,2025-10-01 21:05:00+10:00,0.0,0.0
WARWSF,2025-10-01 21:10:00+10:00,0.0,0.0
WARWSF,2025-10-01 21:15:00+10:00,0.0,0.0
WARWSF,2025-10-01 21:20:00+10:00,0.0,0.0
WARWSF,2025-10-01 21:25:00+10:00,0.0,0.0
WARWSF,2025-10-01 21:30:00+10:00,0.0,0.0
WARWSF,2025-10-01 21:35:00+10:00,0.0,0.0
WARWSF,2025-10-01 21:40:00+10:00,0.0,0.0
WARWSF,2025-10-01 21:45:00+10:00,0.0,0.0
WARWSF,2025-10-01 21:50:00+10:00,0.0,0.0
WARWSF,2025-10-01 21:55:00+10:00,0.0,0.0
WARWSF,2025-10-01 22:00:00+10:00,0.0,0.0
WARWSF,2025-10-01 22:05:00+10:00,0.0,0.0
WARWSF,2025-10-01 22:10:00+10:00,0.0,0.0
WARWSF,2025-10-01 22:15:00+10:00,0.0,0.0
WARWSF,2025-10-01 22:20:00+10:00,0.0,0.0
WARWSF,2025-10-01 22:25:00+10:00,0.0,0.0
WARWSF,2025-10-01 22:30:00+10:00,0.0,0.0
WARWSF,2025-10-01 22:35:00+10:00,0.0,0.0
WARWSF,2025-10-01 22:40:00+10:00,0.0,0.0
WARWSF,2025-10-01 22:45:00+10:00,0.0,0.0
WARWSF,2025-10-01 22:50:00+10:00,0.0,0.0
WARWSF,2025-10-01 22:55:00+10:00,0.0,0.0
WARWSF,2025-10-01 23:00:00+10:00,0.0,0.0
WARWSF,2025-10-01 23:05:00+10:00,0.0,0.0
WARWSF,2025-10-01 23:10:00+10:00,0.0,0.0
WARWSF,2025-10-01 23:15:00+10:00,0.0,0.0
WARWSF,2025-10-01 23:20:00+10:00,0.0,0.0
WARWSF,2025-10-01 23:25:00+10:00,0.0,0.0
WARWSF,2025-10-01 23:30:00+10:00,0.0,0.0
WARWSF,2025-10-01 23:35:00+10:00,0.0,0.0
WARWSF,2025-10-01 23:40:00+10:00,0.0,0.0
WARWSF,2025-10-01 23:45:00+10:00,0.0,0.0
WARWSF,2025-10-01 23:50:00+10:00,0.0,0.0
WARWSF,2025-10-01 23:55:00+10:00,0.0,0.0
WATERLWF,2025-10-01 00:00:00+10:00,0.0,103.5
WATERLWF,2025-10-01 00:05:00+10:00,0.0,103.1
WATERLWF,2025-10-01 00:10:00+10:00,0.0,101.0
WATERLWF,2025-10-01 00:15:00+10:00,0.0,102.3
WATERLWF,2025-10-01 00:20:00+10:00,0.0,103.7
WATERLWF,2025-10-01 00:25:00+10:00,0.0,100.2
WATERLWF,2025-10-01 00:30:00+10:00,0.0,99.4
WATERLWF,2025-10-01 00:35:00+10:00,0.0,103.1
WATERLWF,2025-10-01 00:40:00+10:00,0.0,103.4
WATERLWF,2025-10-01 00:45:00+10:00,0.0,104.2
WATERLWF,2025-10-01 00:50:00+10:00,0.0,103.7
WATERLWF,2025-10-01 00:55:00+10:00,0.0,103.0
WATERLWF,2025-10-01 01:00:00+10:00,0.0,105.4
WATERLWF,2025-10-01 01:05:00+10:00,0.0,102.4
WATERLWF,2025-10-01 01:10:00+10:00,0.0,101.8
WATERLWF,2025-10-01 01:15:00+10:00,0.0,104.7
WATERLWF,2025-10-01 01:20:00+10:00,0.0,106.1
WATERLWF,2025-10-01 01:25:00+10:00,0.0,105.7
WATERLWF,2025-10-01 01:30:00+10:00,0.0,104.5
WATERLWF,2025-10-01 01:35:00+10:00,0.0,106.3
WATERLWF,2025-10-01 01:40:00+10:00,0.0,106.1
WATERLWF,2025-10-01 01:45:00+10:00,0.0,106.0
WATERLWF,2025-10-01 01:50:00+10:00,0.0,104.4
WATERLWF,2025-10-01 01:55:00+10:00,0.0,104.6
WATERLWF,2025-10-01 02:00:00+10:00,0.0,105.8
WATERLWF,2025-10-01 02:05:00+10:00,0.0,105.5
WATERLWF,2025-10-01 02:10:00+10:00,0.0,105.0
WATERLWF,2025-10-01 02:15:00+10:00,0.0,105.8
WATERLWF,2025-10-01 02:20:00+10:00,0.0,105.3
WATERLWF,2025-10-01 02:25:00+10:00,0.0,105.9
WATERLWF,2025-10-01 02:30:00+10:00,0.0,105.4
WATERLWF,2025-10-01 02:35:00+10:00,0.0,105.2
WATERLWF,2025-10-01 02:40:00+10:00,0.0,103.3
WATERLWF,2025-10-01 02:45:00+10:00,0.0,101.8
WATERLWF,2025-10-01 02:50:00+10:00,0.0,100.8
WATERLWF,2025-10-01 02:55:00+10:00,0.0,102.8
WATERLWF,2025-10-01 03:00:00+10:00,0.0,103.0
WATERLWF,2025-10-01 03:05:00+10:00,0.0,99.3
WATERLWF,2025-10-01 03:10:00+10:00,0.0,96.5
WATERLWF,2025-10-01 03:15:00+10:00,0.0,99.1
WATERLWF,2025-10-01 03:20:00+10:00,0.0,101.6
WATERLWF,2025-10-01 03:25:00+10:00,0.0,100.6
WATERLWF,2025-10-01 03:30:00+10:00,0.0,100.3
WATERLWF,2025-10-01 03:35:00+10:00,0.0,101.3
WATERLWF,2025-10-01 03:40:00+10:00,0.0,102.5
WATERLWF,2025-10-01 03:45:00+10:00,0.0,102.8
WATERLWF,2025-10-01 03:50:00+10:00,0.0,104.6
WATERLWF,2025-10-01 03:55:00+10:00,0.0,104.5
WATERLWF,2025-10-01 04:00:00+10:00,0.0,104.9
WATERLWF,2025-10-01 04:05:00+10:00,0.0,105.0
WATERLWF,2025-10-01 04:10:00+10:00,0.0,105.1
WATERLWF,2025-10-01 04:15:00+10:00,0.0,106.2
WATERLWF,2025-10-01 04:20:00+10:00,0.0,105.8
WATERLWF,2025-10-01 04:25:00+10:00,0.0,105.6
WATERLWF,2025-10-01 04:30:00+10:00,0.0,106.1
WATERLWF,2025-10-01 04:35:00+10:00,0.0,106.1
WATERLWF,2025-10-01 04:40:00+10:00,0.0,105.7
WATERLWF,2025-10-01 04:45:00+10:00,0.0,106.0
WATERLWF,2025-10-01 04:50:00+10:00,0.0,105.7
WATERLWF,2025-10-01 04:55:00+10:00,0.0,105.5
WATERLWF,2025-10-01 05:00:00+10:00,0.0,105.5
WATERLWF,2025-10-01 05:05:00+10:00,0.0,105.8
WATERLWF,2025-10-01 05:10:00+10:00,0.0,102.3
WATERLWF,2025-10-01 05:15:00+10:00,0.0,102.6
WATERLWF,2025-10-01 05:20:00+10:00,0.0,106.0
WATERLWF,2025-10-01 05:25:00+10:00,0.0,105.7
WATERLWF,2025-10-01 05:30:00+10:00,0.0,106.3
WATERLWF,2025-10-01 05:35:00+10:00,0.0,105.8
WATERLWF,2025-10-01 05:40:00+10:00,0.0,105.9
WATERLWF,2025-10-01 05:45:00+10:00,0.0,105.9
WATERLWF,2025-10-01 05:50:00+10:00,0.0,105.1
WATERLWF,2025-10-01 05:55:00+10:00,0.0,104.2
WATERLWF,2025-10-01 06:00:00+10:00,0.0,104.7
WATERLWF,2025-10-01 06:05:00+10:00,0.0,101.9
WATERLWF,2025-10-01 06:10:00+10:00,0.0,104.1
WATERLWF,2025-10-01 06:15:00+10:00,0.0,102.3
WATERLWF,2025-10-01 06:20:00+10:00,0.0,105.3
WATERLWF,2025-10-01 06:25:00+10:00,0.0,106.2
WATERLWF,2025-10-01 06:30:00+10:00,0.0,106.0
WATERLWF,2025-10-01 06:35:00+10:00,0.0,105.5
WATERLWF,2025-10-01 06:40:00+10:00,0.0,106.0
WATERLWF,2025-10-01 06:45:00+10:00,0.0,105.5
WATERLWF,2025-10-01 06:50:00+10:00,0.0,105.9
WATERLWF,2025-10-01 06:55:00+10:00,0.0,105.9
WATERLWF,2025-10-01 07:00:00+10:00,0.0,104.4
WATERLWF,2025-10-01 07:05:00+10:00,0.0,104.3
WATERLWF,2025-10-01 07:10:00+10:00,0.0,105.1
WATERLWF,2025-10-01 07:15:00+10:00,0.0,101.1
WATERLWF,2025-10-01 07:20:00+10:00,0.0,102.6
WATERLWF,2025-10-01 07:25:00+10:00,0.0,102.7
WATERLWF,2025-10-01 07:30:00+10:00,0.0,105.3
WATERLWF,2025-10-01 07:35:00+10:00,0.0,106.2
WATERLWF,2025-10-01 07:40:00+10:00,0.0,105.4
WATERLWF,2025-10-01 07:45:00+10:00,0.0,104.3
WATERLWF,2025-10-01 07:50:00+10:00,0.0,105.4
WATERLWF,2025-10-01 07:55:00+10:00,0.0,101.4
WATERLWF,2025-10-01 08:00:00+10:00,0.0,103.6
WATERLWF,2025-10-01 08:05:00+10:00,0.0,103.6
WATERLWF,2025-10-01 08:10:00+10:00,0.0,101.7
WATERLWF,2025-10-01 08:15:00+10:00,0.0,103.0
WATERLWF,2025-10-01 08:20:00+10:00,0.0,102.6
WATERLWF,2025-10-01 08:25:00+10:00,0.0,102.4
WATERLWF,2025-10-01 08:30:00+10:00,0.0,104.7
WATERLWF,2025-10-01 08:35:00+10:00,0.0,104.4
WATERLWF,2025-10-01 08:40:00+10:00,0.0,104.1
WATERLWF,2025-10-01 08:45:00+10:00,0.0,103.3
WATERLWF,2025-10-01 08:50:00+10:00,0.0,104.1
WATERLWF,2025-10-01 08:55:00+10:00,0.0,103.7
WATERLWF,2025-10-01 09:00:00+10:00,0.0,103.0
WATERLWF,2025-10-01 09:05:00+10:00,0.0,103.0
WATERLWF,2025-10-01 09:10:00+10:00,0.0,103.7
WATERLWF,2025-10-01 09:15:00+10:00,0.0,103.9
WATERLWF,2025-10-01 09:20:00+10:00,0.0,102.1
WATERLWF,2025-10-01 09:25:00+10:00,0.0,100.8
WATERLWF,2025-10-01 09:30:00+10:00,0.0,100.6
WATERLWF,2025-10-01 09:35:00+10:00,0.0,103.1
WATERLWF,2025-10-01 09:40:00+10:00,0.0,101.4
WATERLWF,2025-10-01 09:45:00+10:00,0.0,97.3
WATERLWF,2025-10-01 09:50:00+10:00,0.0,100.0
WATERLWF,2025-10-01 09:55:00+10:00,0.0,103.4
WATERLWF,2025-10-01 10:00:00+10:00,0.0,102.6
WATERLWF,2025-10-01 10:05:00+10:00,0.0,100.4
WATERLWF,2025-10-01 10:10:00+10:00,0.0,97.6
WATERLWF,2025-10-01 10:15:00+10:00,0.0,99.1
WATERLWF,2025-10-01 10:20:00+10:00,0.0,99.4
WATERLWF,2025-10-01 10:25:00+10:00,0.0,95.1
WATERLWF,2025-10-01 10:30:00+10:00,0.0,96.7
WATERLWF,2025-10-01 10:35:00+10:00,0.0,102.3
WATERLWF,2025-10-01 10:40:00+10:00,0.0,97.1
WATERLWF,2025-10-01 10:45:00+10:00,0.0,94.8
WATERLWF,2025-10-01 10:50:00+10:00,0.0,102.4
WATERLWF,2025-10-01 10:55:00+10:00,0.0,99.4
WATERLWF,2025-10-01 11:00:00+10:00,0.0,98.0
WATERLWF,2025-10-01 11:05:00+10:00,0.0,100.0
WATERLWF,2025-10-01 11:10:00+10:00,0.0,98.3
WATERLWF,2025-10-01 11:15:00+10:00,0.0,103.8
WATERLWF,2025-10-01 11:20:00+10:00,0.0,98.6
WATERLWF,2025-10-01 11:25:00+10:00,0.0,102.2
WATERLWF,2025-10-01 11:30:00+10:00,0.0,101.5
WATERLWF,2025-10-01 11:35:00+10:00,0.0,96.8
WATERLWF,2025-10-01 11:40:00+10:00,0.0,101.3
WATERLWF,2025-10-01 11:45:00+10:00,0.0,101.0
WATERLWF,2025-10-01 11:50:00+10:00,0.0,98.3
WATERLWF,2025-10-01 11:55:00+10:00,0.0,101.6
WATERLWF,2025-10-01 12:00:00+10:00,0.0,100.7
WATERLWF,2025-10-01 12:05:00+10:00,0.0,105.9
WATERLWF,2025-10-01 12:10:00+10:00,0.0,103.6
WATERLWF,2025-10-01 12:15:00+10:00,0.0,103.4
WATERLWF,2025-10-01 12:20:00+10:00,0.0,105.1
WATERLWF,2025-10-01 12:25:00+10:00,0.0,104.1
WATERLWF,2025-10-01 12:30:00+10:00,0.0,101.8
WATERLWF,2025-10-01 12:35:00+10:00,0.0,105.2
WATERLWF,2025-10-01 12:40:00+10:00,0.0,104.0
WATERLWF,2025-10-01 12:45:00+10:00,0.0,105.4
WATERLWF,2025-10-01 12:50:00+10:00,0.0,105.3
WATERLWF,2025-10-01 12:55:00+10:00,0.0,104.8
WATERLWF,2025-10-01 13:00:00+10:00,0.0,105.7
WATERLWF,2025-10-01 13:05:00+10:00,0.0,105.1
WATERLWF,2025-10-01 13:10:00+10:00,0.0,105.2
WATERLWF,2025-10-01 13:15:00+10:00,0.0,104.9
WATERLWF,2025-10-01 13:20:00+10:00,0.0,105.6
WATERLWF,2025-10-01 13:25:00+10:00,0.0,105.4
WATERLWF,2025-10-01 13:30:00+10:00,0.0,105.7
WATERLWF,2025-10-01 13:35:00+10:00,0.0,105.8
WATERLWF,2025-10-01 13:40:00+10:00,0.0,104.8
